id,label,subTypeOf,equivalentClass,subTypes,supersedes,supersededBy,isPartOf
https://schema.org/AcceptAction,AcceptAction,https://schema.org/AllocateAction,,,,,
https://schema.org/AchieveAction,AchieveAction,https://schema.org/Action,,"https://schema.org/LoseAction, https://schema.org/TieAction, https://schema.org/WinAction",,,
https://schema.org/Action,Action,https://schema.org/Thing,,"https://schema.org/AchieveAction, https://schema.org/AssessAction, https://schema.org/ConsumeAction, https://schema.org/ControlAction, https://schema.org/CreateAction, https://schema.org/FindAction, https://schema.org/InteractAction, https://schema.org/MoveAction, https://schema.org/OrganizeAction, https://schema.org/PlayAction, https://schema.org/SearchAction, https://schema.org/SeekToAction, https://schema.org/SolveMathAction, https://schema.org/TradeAction, https://schema.org/TransferAction, https://schema.org/UpdateAction",,,
https://schema.org/ActivateAction,ActivateAction,https://schema.org/ControlAction,,,,,
https://schema.org/AddAction,AddAction,https://schema.org/UpdateAction,,https://schema.org/InsertAction,,,
https://schema.org/AgreeAction,AgreeAction,https://schema.org/ReactAction,,,,,
https://schema.org/AllocateAction,AllocateAction,https://schema.org/OrganizeAction,,"https://schema.org/AcceptAction, https://schema.org/AssignAction, https://schema.org/AuthorizeAction, https://schema.org/RejectAction",,,
https://schema.org/AppendAction,AppendAction,https://schema.org/InsertAction,,,,,
https://schema.org/ApplyAction,ApplyAction,https://schema.org/OrganizeAction,,,,,
https://schema.org/ArriveAction,ArriveAction,https://schema.org/MoveAction,,,,,
https://schema.org/AskAction,AskAction,https://schema.org/CommunicateAction,,,,,
https://schema.org/AssessAction,AssessAction,https://schema.org/Action,,"https://schema.org/ChooseAction, https://schema.org/IgnoreAction, https://schema.org/ReactAction, https://schema.org/ReviewAction",,,
https://schema.org/AssignAction,AssignAction,https://schema.org/AllocateAction,,,,,
https://schema.org/AuthenticateAction,AuthenticateAction,https://schema.org/ControlAction,,,,,https://pending.schema.org
https://schema.org/AuthorizeAction,AuthorizeAction,https://schema.org/AllocateAction,,,,,
https://schema.org/BefriendAction,BefriendAction,https://schema.org/InteractAction,,,,,
https://schema.org/BookmarkAction,BookmarkAction,https://schema.org/OrganizeAction,,,,,
https://schema.org/BorrowAction,BorrowAction,https://schema.org/TransferAction,,,,,
https://schema.org/BuyAction,BuyAction,https://schema.org/TradeAction,,,,,
https://schema.org/CancelAction,CancelAction,https://schema.org/PlanAction,,,,,
https://schema.org/CheckAction,CheckAction,https://schema.org/FindAction,,,,,
https://schema.org/CheckInAction,CheckInAction,https://schema.org/CommunicateAction,,,,,
https://schema.org/CheckOutAction,CheckOutAction,https://schema.org/CommunicateAction,,,,,
https://schema.org/ChooseAction,ChooseAction,https://schema.org/AssessAction,,https://schema.org/VoteAction,,,
https://schema.org/CommentAction,CommentAction,https://schema.org/CommunicateAction,,,,,
https://schema.org/CommunicateAction,CommunicateAction,https://schema.org/InteractAction,,"https://schema.org/AskAction, https://schema.org/CheckInAction, https://schema.org/CheckOutAction, https://schema.org/CommentAction, https://schema.org/InformAction, https://schema.org/InviteAction, https://schema.org/ReplyAction, https://schema.org/ShareAction",,,
https://schema.org/ConfirmAction,ConfirmAction,https://schema.org/InformAction,,,,,
https://schema.org/ConsumeAction,ConsumeAction,https://schema.org/Action,,"https://schema.org/DrinkAction, https://schema.org/EatAction, https://schema.org/InstallAction, https://schema.org/ListenAction, https://schema.org/PlayGameAction, https://schema.org/ReadAction, https://schema.org/UseAction, https://schema.org/ViewAction, https://schema.org/WatchAction",,,
https://schema.org/ControlAction,ControlAction,https://schema.org/Action,,"https://schema.org/ActivateAction, https://schema.org/AuthenticateAction, https://schema.org/DeactivateAction, https://schema.org/LoginAction, https://schema.org/ResetPasswordAction, https://schema.org/ResumeAction, https://schema.org/SuspendAction",,,
https://schema.org/CookAction,CookAction,https://schema.org/CreateAction,,,,,
https://schema.org/CreateAction,CreateAction,https://schema.org/Action,,"https://schema.org/CookAction, https://schema.org/DrawAction, https://schema.org/FilmAction, https://schema.org/PaintAction, https://schema.org/PhotographAction, https://schema.org/WriteAction",,,
https://schema.org/DeactivateAction,DeactivateAction,https://schema.org/ControlAction,,,,,
https://schema.org/DeleteAction,DeleteAction,https://schema.org/UpdateAction,,,,,
https://schema.org/DepartAction,DepartAction,https://schema.org/MoveAction,,,,,
https://schema.org/DisagreeAction,DisagreeAction,https://schema.org/ReactAction,,,,,
https://schema.org/DiscoverAction,DiscoverAction,https://schema.org/FindAction,,,,,
https://schema.org/DislikeAction,DislikeAction,https://schema.org/ReactAction,,,,,
https://schema.org/DonateAction,DonateAction,https://schema.org/TransferAction,,,,,
https://schema.org/DownloadAction,DownloadAction,https://schema.org/TransferAction,,,,,
https://schema.org/DrawAction,DrawAction,https://schema.org/CreateAction,,,,,
https://schema.org/DrinkAction,DrinkAction,https://schema.org/ConsumeAction,,,,,
https://schema.org/EatAction,EatAction,https://schema.org/ConsumeAction,,,,,
https://schema.org/EndorseAction,EndorseAction,https://schema.org/ReactAction,,,,,
https://schema.org/ExerciseAction,ExerciseAction,https://schema.org/PlayAction,,,,,
https://schema.org/FilmAction,FilmAction,https://schema.org/CreateAction,,,,,
https://schema.org/FindAction,FindAction,https://schema.org/Action,,"https://schema.org/CheckAction, https://schema.org/DiscoverAction, https://schema.org/TrackAction",,,
https://schema.org/FollowAction,FollowAction,https://schema.org/InteractAction,,,,,
https://schema.org/GiveAction,GiveAction,https://schema.org/TransferAction,,,,,
https://schema.org/IgnoreAction,IgnoreAction,https://schema.org/AssessAction,,,,,
https://schema.org/InformAction,InformAction,https://schema.org/CommunicateAction,,"https://schema.org/ConfirmAction, https://schema.org/RsvpAction",,,
https://schema.org/InsertAction,InsertAction,https://schema.org/AddAction,,"https://schema.org/AppendAction, https://schema.org/PrependAction",,,
https://schema.org/InstallAction,InstallAction,https://schema.org/ConsumeAction,,,,,
https://schema.org/InteractAction,InteractAction,https://schema.org/Action,,"https://schema.org/BefriendAction, https://schema.org/CommunicateAction, https://schema.org/FollowAction, https://schema.org/JoinAction, https://schema.org/LeaveAction, https://schema.org/MarryAction, https://schema.org/RegisterAction, https://schema.org/SubscribeAction, https://schema.org/UnRegisterAction",,,
https://schema.org/InviteAction,InviteAction,https://schema.org/CommunicateAction,,,,,
https://schema.org/JoinAction,JoinAction,https://schema.org/InteractAction,,,,,
https://schema.org/LeaveAction,LeaveAction,https://schema.org/InteractAction,,,,,
https://schema.org/LendAction,LendAction,https://schema.org/TransferAction,,,,,
https://schema.org/LikeAction,LikeAction,https://schema.org/ReactAction,,,,,
https://schema.org/ListenAction,ListenAction,https://schema.org/ConsumeAction,,,,,
https://schema.org/LoginAction,LoginAction,https://schema.org/ControlAction,,,,,https://pending.schema.org
https://schema.org/LoseAction,LoseAction,https://schema.org/AchieveAction,,,,,
https://schema.org/MarryAction,MarryAction,https://schema.org/InteractAction,,,,,
https://schema.org/MoneyTransfer,MoneyTransfer,https://schema.org/TransferAction,,,,,https://pending.schema.org
https://schema.org/MoveAction,MoveAction,https://schema.org/Action,,"https://schema.org/ArriveAction, https://schema.org/DepartAction, https://schema.org/TravelAction",,,
https://schema.org/OrderAction,OrderAction,https://schema.org/TradeAction,,,,,
https://schema.org/OrganizeAction,OrganizeAction,https://schema.org/Action,,"https://schema.org/AllocateAction, https://schema.org/ApplyAction, https://schema.org/BookmarkAction, https://schema.org/PlanAction",,,
https://schema.org/PaintAction,PaintAction,https://schema.org/CreateAction,,,,,
https://schema.org/PayAction,PayAction,https://schema.org/TradeAction,,,,,
https://schema.org/PerformAction,PerformAction,https://schema.org/PlayAction,,,,,
https://schema.org/PhotographAction,PhotographAction,https://schema.org/CreateAction,,,,,
https://schema.org/PlanAction,PlanAction,https://schema.org/OrganizeAction,,"https://schema.org/CancelAction, https://schema.org/ReserveAction, https://schema.org/ScheduleAction",,,
https://schema.org/PlayAction,PlayAction,https://schema.org/Action,,"https://schema.org/ExerciseAction, https://schema.org/PerformAction",,,
https://schema.org/PlayGameAction,PlayGameAction,https://schema.org/ConsumeAction,,,,,https://pending.schema.org
https://schema.org/PreOrderAction,PreOrderAction,https://schema.org/TradeAction,,,,,
https://schema.org/PrependAction,PrependAction,https://schema.org/InsertAction,,,,,
https://schema.org/QuoteAction,QuoteAction,https://schema.org/TradeAction,,,,,
https://schema.org/ReactAction,ReactAction,https://schema.org/AssessAction,,"https://schema.org/AgreeAction, https://schema.org/DisagreeAction, https://schema.org/DislikeAction, https://schema.org/EndorseAction, https://schema.org/LikeAction, https://schema.org/WantAction",,,
https://schema.org/ReadAction,ReadAction,https://schema.org/ConsumeAction,,,,,
https://schema.org/ReceiveAction,ReceiveAction,https://schema.org/TransferAction,,,,,
https://schema.org/RegisterAction,RegisterAction,https://schema.org/InteractAction,,,,,
https://schema.org/RejectAction,RejectAction,https://schema.org/AllocateAction,,,,,
https://schema.org/RentAction,RentAction,https://schema.org/TradeAction,,,,,
https://schema.org/ReplaceAction,ReplaceAction,https://schema.org/UpdateAction,,,,,
https://schema.org/ReplyAction,ReplyAction,https://schema.org/CommunicateAction,,,,,
https://schema.org/ReserveAction,ReserveAction,https://schema.org/PlanAction,,,,,
https://schema.org/ResetPasswordAction,ResetPasswordAction,https://schema.org/ControlAction,,,,,https://pending.schema.org
https://schema.org/ResumeAction,ResumeAction,https://schema.org/ControlAction,,,,,
https://schema.org/ReturnAction,ReturnAction,https://schema.org/TransferAction,,,,,
https://schema.org/ReviewAction,ReviewAction,https://schema.org/AssessAction,,,,,
https://schema.org/RsvpAction,RsvpAction,https://schema.org/InformAction,,,,,
https://schema.org/ScheduleAction,ScheduleAction,https://schema.org/PlanAction,,,,,
https://schema.org/SearchAction,SearchAction,https://schema.org/Action,,,,,
https://schema.org/SeekToAction,SeekToAction,https://schema.org/Action,,,,,https://pending.schema.org
https://schema.org/SellAction,SellAction,https://schema.org/TradeAction,,,,,
https://schema.org/SendAction,SendAction,https://schema.org/TransferAction,,,,,
https://schema.org/ShareAction,ShareAction,https://schema.org/CommunicateAction,,,,,
https://schema.org/SolveMathAction,SolveMathAction,https://schema.org/Action,,,,,https://pending.schema.org
https://schema.org/SubscribeAction,SubscribeAction,https://schema.org/InteractAction,,,,,
https://schema.org/SuspendAction,SuspendAction,https://schema.org/ControlAction,,,,,
https://schema.org/TakeAction,TakeAction,https://schema.org/TransferAction,,,,,
https://schema.org/TieAction,TieAction,https://schema.org/AchieveAction,,,,,
https://schema.org/TipAction,TipAction,https://schema.org/TradeAction,,,,,
https://schema.org/TrackAction,TrackAction,https://schema.org/FindAction,,,,,
https://schema.org/TradeAction,TradeAction,https://schema.org/Action,,"https://schema.org/BuyAction, https://schema.org/OrderAction, https://schema.org/PayAction, https://schema.org/PreOrderAction, https://schema.org/QuoteAction, https://schema.org/RentAction, https://schema.org/SellAction, https://schema.org/TipAction",,,
https://schema.org/TransferAction,TransferAction,https://schema.org/Action,,"https://schema.org/BorrowAction, https://schema.org/DonateAction, https://schema.org/DownloadAction, https://schema.org/GiveAction, https://schema.org/LendAction, https://schema.org/MoneyTransfer, https://schema.org/ReceiveAction, https://schema.org/ReturnAction, https://schema.org/SendAction, https://schema.org/TakeAction",,,
https://schema.org/TravelAction,TravelAction,https://schema.org/MoveAction,,,,,
https://schema.org/UnRegisterAction,UnRegisterAction,https://schema.org/InteractAction,,,,,
https://schema.org/UpdateAction,UpdateAction,https://schema.org/Action,,"https://schema.org/AddAction, https://schema.org/DeleteAction, https://schema.org/ReplaceAction",,,
https://schema.org/UseAction,UseAction,https://schema.org/ConsumeAction,,https://schema.org/WearAction,,,
https://schema.org/ViewAction,ViewAction,https://schema.org/ConsumeAction,,,,,
https://schema.org/VoteAction,VoteAction,https://schema.org/ChooseAction,,,,,
https://schema.org/WantAction,WantAction,https://schema.org/ReactAction,,,,,
https://schema.org/WatchAction,WatchAction,https://schema.org/ConsumeAction,,,,,
https://schema.org/WearAction,WearAction,https://schema.org/UseAction,,,,,
https://schema.org/WinAction,WinAction,https://schema.org/AchieveAction,,,,,
https://schema.org/WriteAction,WriteAction,https://schema.org/CreateAction,,,,,
